title	Verb
for	@V?[^RS]**

			Qal	Niphal	Piel	Pual	Hiphil	Hophal	Hithpael
Perfect	Sg	3m	@V[aZ][Pp]3MS*	@Vd[Pp]3MS*	@V[bCxRyNGzQo][Pp]3MS*	@V[eFAwIKL][Pp]3MS*	@Vc[Pp]3MS*	@Vi[Pp]3MS*	@V[gTOBDSEHnUPl][Pp]3MS*
		3f	@V[aZ][Pp]3FS*	@Vd[Pp]3FS*	@V[bCxRyNGzQo][Pp]3FS*	@V[eFAwIKL][Pp]3FS*	@Vc[Pp]3FS*	@Vi[Pp]3FS*	@V[gTOBDSEHnUPl][Pp]3FS*
		2m	@V[aZ][Pp]2MS*	@Vd[Pp]2MS*	@V[bCxRyNGzQo][Pp]2MS*	@V[eFAwIKL][Pp]2MS*	@Vc[Pp]2MS*	@Vi[Pp]2MS*	@V[gTOBDSEHnUPl][Pp]2MS*
		2f	@V[aZ][Pp]2FS*	@Vd[Pp]2FS*	@V[bCxRyNGzQo][Pp]2FS*	@V[eFAwIKL][Pp]2FS*	@Vc[Pp]2FS*	@Vi[Pp]2FS*	@V[gTOBDSEHnUPl][Pp]2FS*
		1c	@V[aZ][Pp]1?S*	@Vd[Pp]1?S*	@V[bCxRyNGzQo][Pp]1?S*	@V[eFAwIKL][Pp]1?S*	@Vc[Pp]1?S*	@Vi[Pp]1?S*	@V[gTOBDSEHnUPl][Pp]1?S*
	Pl	3c	@V[aZ][Pp]3?P*	@Vd[Pp]3?P*	@V[bCxRyNGzQo][Pp]3?P*	@V[eFAwIKL][Pp]3?P*	@Vc[Pp]3?P*	@Vi[Pp]3?P*	@V[gTOBDSEHnUPl][Pp]3?P*
		2m	@V[aZ][Pp]2MP*	@Vd[Pp]2MP*	@V[bCxRyNGzQo][Pp]2MP*	@V[eFAwIKL][Pp]2MP*	@Vc[Pp]2MP*	@Vi[Pp]2MP*	@V[gTOBDSEHnUPl][Pp]2MP*
		2f	@V[aZ][Pp]2FP*	@Vd[Pp]2FP*	@V[bCxRyNGzQo][Pp]2FP*	@V[eFAwIKL][Pp]2FP*	@Vc[Pp]2FP*	@Vi[Pp]2FP*	@V[gTOBDSEHnUPl][Pp]2FP*
		1c	@V[aZ][Pp]1?P*	@Vd[Pp]1?P*	@V[bCxRyNGzQo][Pp]1?P*	@V[eFAwIKL][Pp]1?P*	@Vc[Pp]1?P*	@Vi[Pp]1?P*	@V[gTOBDSEHnUPl][Pp]1?P*
Imperfect	Sg	3m	@V[aZ][IWw]3MS*	@Vd[IWw]3MS*	@V[bCxRyNGzQo][IWw]3MS*	@V[eFAwIKL][IWw]3MS*	@Vc[IWw]3MS*	@Vi[IWw]3MS*	@V[gTOBDSEHnUPl][IWw]3MS*
		3f	@V[aZ][IWw]3FS*	@Vd[IWw]3FS*	@V[bCxRyNGzQo][IWw]3FS*	@V[eFAwIKL][IWw]3FS*	@Vc[IWw]3FS*	@Vi[IWw]3FS*	@V[gTOBDSEHnUPl][IWw]3FS*
		2m	@V[aZ][IWw]2MS*	@Vd[IWw]2MS*	@V[bCxRyNGzQo][IWw]2MS*	@V[eFAwIKL][IWw]2MS*	@Vc[IWw]2MS*	@Vi[IWw]2MS*	@V[gTOBDSEHnUPl][IWw]2MS*
		2f	@V[aZ][IWw]2FS*	@Vd[IWw]2FS*	@V[bCxRyNGzQo][IWw]2FS*	@V[eFAwIKL][IWw]2FS*	@Vc[IWw]2FS*	@Vi[IWw]2FS*	@V[gTOBDSEHnUPl][IWw]2FS*
		1c	@V[aZ][IWw]1?S*	@Vd[IWw]1?S*	@V[bCxRyNGzQo][IWw]1?S*	@V[eFAwIKL][IWw]1?S*	@Vc[IWw]1?S*	@Vi[IWw]1?S*	@V[gTOBDSEHnUPl][IWw]1?S*
	Pl	3m	@V[aZ][IWw]3MP*	@Vd[IWw]3MP*	@V[bCxRyNGzQo][IWw]3MP*	@V[eFAwIKL][IWw]3MP*	@Vc[IWw]3MP*	@Vi[IWw]3MP*	@V[gTOBDSEHnUPl][IWw]3MP*
